paragraph_id,phrase_idx,syllable_idx,global_syllable_idx,syllable,phone_idx,phone,phone_role,viseme_id,start_frame,end_frame,start_time_ms,end_time_ms,duration_weight,raw_viseme_id,source
P002,12,25,241,li,136,sapi_viseme_15,tts_viseme,5,2057,2060,82280,82400,4,15,tts_viseme
P002,12,25,241,li,137,sapi_viseme_1,tts_viseme,4,2061,2063,82440,82520,3,1,tts_viseme
P002,12,25,241,li,138,sapi_viseme_20,tts_viseme,4,2063,2065,82520,82600,3,20,tts_viseme
P002,12,25,241,li,139,sapi_viseme_19,tts_viseme,2,2066,2066,82640,82640,1.0,19,tts_viseme
P002,12,25,241,li,140,sapi_viseme_15,tts_viseme,5,2066,2068,82640,82720,3,15,tts_viseme
P002,12,25,241,li,141,sapi_viseme_1,tts_viseme,4,2068,2070,82720,82800,3,1,tts_viseme
P002,12,25,241,li,142,sapi_viseme_20,tts_viseme,4,2071,2072,82840,82880,2,20,tts_viseme
P002,12,25,241,li,143,sapi_viseme_19,tts_viseme,2,2073,2075,82920,83000,3,19,tts_viseme
P002,12,25,241,li,144,sapi_viseme_1,tts_viseme,4,2075,2077,83000,83080,3,1,tts_viseme
P002,12,25,241,li,145,sapi_viseme_20,tts_viseme,4,2078,2080,83120,83200,3,20,tts_viseme
P002,12,25,241,li,146,sapi_viseme_14,tts_viseme,2,2080,2081,83200,83240,2,14,tts_viseme
